date,volume_btc,volume_usd
2026-03-17,37904.84,2819675253.63
2026-03-18,29963.04,2164801322.0
2026-03-19,31432.32,2199132834.75
2026-03-20,28202.11,1979988250.54
2026-03-21,10135.48,712826361.45
2026-03-22,19080.94,1307961491.93
2026-03-23,34476.12,2411208073.25
2026-03-24,27209.19,1908823520.28
2026-03-25,21670.32,1542312170.57
2026-03-26,28504.28,1977691874.86
2026-03-27,34935.43,2331409861.49
2026-03-28,12045.71,801747050.55
2026-03-29,14862.65,985393652.08
2026-03-30,34021.82,2284385033.06
2026-03-31,34649.11,2333599626.6
2026-04-01,24234.59,1656756766.28
2026-04-02,26281.88,1756579345.55
2026-04-03,12707.87,849007595.22
2026-04-04,6444.27,432782453.72
2026-04-05,10554.43,712749539.51
2026-04-06,26913.27,1870697978.1
2026-04-07,31146.4,2160155962.23
2026-04-08,28765.74,2059667780.52
2026-04-09,29224.6,2095261926.07
2026-04-10,26151.44,1898530601.35
2026-04-11,9513.07,695313988.08
2026-04-12,13674.97,976072693.15
2026-04-13,38520.57,2787168328.38
2026-04-14,42928.16,3211194613.9
2026-04-15,2404.08,179196475.88
